Date,Open,High,Low,Close,Change,Rate,Volume,Amount
2016/7/13,3274.02,3300.99,3271.78,3282.87,9.69,0.3,1751960.9,19659230.03
2016/7/14,3277.48,3281.95,3259.07,3276.76,-6.1,-0.19,1075257.98,12809042.09
2016/7/15,3278.84,3285.03,3265.29,3276.28,-0.49,-0.01,1026650.26,12517981.29
2016/7/18,3269.71,3281.64,3251.77,3262.02,-14.26,-0.44,1103125.18,12978570.62
2016/7/19,3260.43,3264.73,3226.2,3248.23,-13.79,-0.42,888868.61,10710891.12
2016/7/20,3246.86,3254.51,3232.26,3237.61,-10.63,-0.33,727012.55,9136744.9
2016/7/21,3238.34,3271.37,3238.3,3252.52,14.92,0.46,860048.25,10746407.25
2016/7/22,3251.24,3253.77,3220.89,3225.16,-27.36,-0.84,860291.28,10741688.73
2016/7/25,3220.17,3243.79,3218.14,3230.89,5.72,0.18,702031.85,9201584.4
2016/7/26,3228.23,3269.75,3228.01,3269.59,38.7,1.2,810510.89,10374576.28
2016/7/27,3270.08,3276.51,3157.41,3218.24,-51.35,-1.57,1601886.65,18692836.65
2016/7/28,3204.46,3235.78,3195.27,3221.14,2.89,0.09,1127799.64,13729589.28
2016/7/29,3217.19,3225.42,3198.68,3203.93,-17.21,-0.53,880448.37,10378702.97
2016/8/1,3196.43,3199.98,3156.75,3176.81,-27.12,-0.85,870034.97,9881863.44
2016/8/2,3173.76,3189.05,3165.54,3189.05,12.24,0.39,621676.39,7064076.38
2016/8/3,3179.68,3197.16,3173.54,3193.51,4.45,0.14,728641.02,7975432.33
2016/8/4,3190.55,3201.55,3170.42,3201.29,7.78,0.24,735043.73,8691959.11
2016/8/5,3201.35,3224.87,3192.86,3205.11,3.82,0.12,771963.66,9442954.24
2016/8/8,3199.57,3234.48,3187.25,3234.18,29.07,0.91,866760.51,10263811.46
2016/8/9,3232.6,3257.33,3229.17,3256.98,22.8,0.7,910652.59,10592405.24
2016/8/10,3255.18,3261.86,3242.75,3243.34,-13.64,-0.42,904303.72,10615744.8
2016/8/11,3239.56,3274.03,3232.61,3233.36,-9.98,-0.31,1010412.13,11699615.9
2016/8/12,3231.81,3294.23,3231.14,3294.23,60.87,1.88,1162540.44,12935468.64
2016/8/15,3303.47,3417.91,3302.38,3393.42,99.19,3.01,2205434.21,25889746.39
2016/8/16,3403.38,3418.69,3372.02,3378.25,-15.18,-0.45,1963897.4,22678523.11
2016/8/17,3377.77,3394.39,3356.92,3373.05,-5.2,-0.15,1388476.88,16791753.09
2016/8/18,3369.95,3394.79,3349.69,3364.49,-8.56,-0.25,1423801.69,17225653.3
2016/8/19,3358.56,3374.05,3341.19,3365.02,0.53,0.02,1199615.08,13538270.63
2016/8/22,3364.68,3372.83,3335.47,3336.79,-28.22,-0.84,1079510.08,12820178.38
2016/8/23,3332.62,3359.65,3324.96,3341.83,5.03,0.15,929245.16,10850369.24
2016/8/24,3341.93,3348.13,3323.73,3329.86,-11.97,-0.36,811914.29,9401283.22
2016/8/25,3314.08,3315.08,3279.81,3308.97,-20.89,-0.63,1005891.53,11257814
2016/8/26,3312.5,3328.95,3301.74,3307.09,-1.88,-0.06,815306.91,9321320.56
2016/8/29,3306.57,3315.08,3297.07,3307.78,0.69,0.02,770363.33,8801164.2
2016/8/30,3310.32,3325.12,3304.6,3311.99,4.21,0.13,757259.87,8951301.67
2016/8/31,3310.57,3333.97,3304.66,3327.79,15.81,0.48,795708.05,9921504.44
